 /*  opinionesUsuario.csv: datos generados por la información recibida de los logs de aplicaciones, columnas: usuario, aplicacion, opinion o valoración de usuario 

    Copyright (C) 2016  Natividad Crespo Belver. 
    Proyecto desarrollado como parte del TFG en la Universidad Internacional de la Rioja

    This program is free software: you can redistribute it and/or modify
    it under the terms of the GNU General Public License as published by
    the Free Software Foundation, either version 3 of the License, or
479437,9,10.0 
479435,1,6.0 
479434,5,10.0 
479434,9,1.0 
479432,5,6.0 
479430,7,6.0 
479429,6,6.0 
479428,8,10.0 
479427,9,10.0 
479427,8,4.0 
479426,1,1.0 
479425,2,4.0 
479424,4,4.0 
479423,8,4.0 
479423,7,10.0 
479422,1,6.0 
479421,1,10.0 
479421,9,6.0 
479419,8,4.0 
479418,2,1.0 
479418,7,5.5 
479418,7,5.5 
479417,4,1.0 
479417,7,1.0 
479416,4,6.0 
479413,4,10.0 
479413,7,6.0 
479412,7,7.0 
479412,6,4.0 
479412,7,7.0 
479409,6,4.0 
479409,3,1.0 
479407,3,10.0 
479407,6,1.0 
479406,9,10.0 
479404,6,4.0 
479404,5,4.0 
479402,2,4.0 
479401,2,10.0 
479401,9,6.0 
479400,1,6.0 
479400,6,4.0 
479399,7,10.0 
479397,5,6.0 
479397,6,6.0 
479395,6,4.0 
479394,4,5.5 
479394,4,5.5 
479391,4,4.0 
479391,5,10.0 
479389,3,10.0 
479385,9,6.0 
479385,2,1.0 
479385,5,4.0 
479384,8,4.0 
479383,4,6.0 
479381,4,1.0 
479380,5,6.0 
479379,5,10.0 
479378,1,10.0 
479377,8,6.0 
479376,8,1.0 
479369,7,6.0 
479367,8,6.0 
479367,7,4.0 
479366,1,6.0 
479365,8,6.0 
479365,9,4.0 
479365,2,6.0 
479364,4,1.0 
479364,4,1.0 
479360,5,4.0 
479359,6,10.0 
479359,5,1.0 
479358,1,6.0 
479357,1,1.0 
479355,3,4.0 
479354,8,6.0 
479354,1,6.0 
479354,5,4.0 
479349,5,4.0 
479349,8,10.0 
479345,9,3.5 
479345,9,3.5 
479344,6,1.0 
479344,1,4.0 
479343,3,10.0 
479343,9,6.0 
479343,7,4.0 
479342,1,1.0 
479342,3,10.0 
479342,7,4.0 
479339,2,10.0 
479337,7,6.0 
479337,6,4.0 
479335,9,4.0 
479334,7,1.0 
479333,7,10.0 
479332,6,4.0 
479332,1,1.0 
479332,5,10.0 
479331,6,1.0 
479330,6,1.0 
479329,8,4.0 
479326,7,1.0 
479326,9,10.0 
479321,7,1.0 
479321,2,10.0 
479321,4,10.0 
479318,4,10.0 
479318,7,10.0 
479317,9,6.0 
479315,4,4.0 
479313,1,1.0 
479311,9,1.0 
479309,8,5.0 
479309,4,4.0 
479309,8,5.0 
479307,8,1.0 
479307,5,1.0 
479307,9,10.0 
479304,8,1.0 
479303,3,7.0 
479303,3,7.0 
479302,2,10.0 
479301,4,5.0 
479301,4,5.0 
479300,3,10.0 
479299,7,6.0 
479297,8,6.0 
479297,1,6.0 
479294,2,10.0 
479290,8,10.0 
479288,3,1.0 
479288,3,1.0 
479283,8,10.0 
479283,3,1.0 
479282,3,4.0 
479282,2,10.0 
479281,2,6.0 
479279,5,4.0 
479278,5,6.0 
479278,1,4.0 
479278,3,10.0 
479278,4,10.0 
479277,6,1.0 
479276,1,4.0 
479272,7,10.0 
479272,7,10.0 
479272,4,10.0 
479271,9,10.0 
479270,7,10.0 
479269,7,6.0 
479268,9,1.0 
479267,4,10.0 
479267,3,10.0 
479266,7,1.0 
479265,2,10.0 
479264,7,10.0 
479264,5,4.0 
479262,5,10.0 
479262,7,4.0 
479261,1,1.0 
479258,3,6.0 
479256,9,6.0 
479256,7,10.0 
479255,3,4.0 
479255,7,4.0 
479252,2,10.0 
479250,5,10.0 
479250,1,10.0 
479249,5,4.0 
479248,4,6.0 
479246,9,10.0 
479246,3,4.0 
479246,7,4.0 
479244,4,6.0 
479243,7,10.0 
479242,7,10.0 
479241,4,6.0 
479240,8,10.0 
479239,6,7.0 
479239,6,7.0 
479238,4,4.0 
479238,5,6.0 
479237,8,4.0 
479236,1,6.0 
479235,1,10.0 
479233,3,10.0 
479232,7,10.0 
479231,3,1.0 
479230,7,10.0 
479228,8,6.0 
479227,3,10.0 
479226,3,10.0 
479226,6,10.0 
479225,7,10.0 
479223,8,6.0 
479223,7,1.0 
479222,1,6.0 
479221,9,10.0 
479219,8,10.0 
479218,7,4.0 
479216,5,4.0 
479216,9,1.0 
479215,3,1.0 
479213,2,10.0 
479213,4,10.0 
479211,6,10.0 
479210,3,6.0 
479209,2,4.0 
479209,6,10.0 
479206,7,4.0 
479206,5,10.0 
479205,2,4.0 
479203,4,1.0 
479202,4,10.0 
479198,7,10.0 
479198,8,10.0 
479197,7,6.0 
479196,3,1.0 
479195,8,10.0 
479193,7,4.0 
479190,4,6.0 
479190,3,10.0 
479189,2,1.0 
479187,6,7.0 
479187,1,6.0 
479187,6,7.0 
479187,1,6.0 
479186,7,10.0 
479183,2,4.0 
479178,7,6.0 
479177,9,10.0 
479176,7,4.0 
479174,8,6.0 
479174,4,1.0 
479172,5,10.0 
479172,3,6.0 
479172,6,4.0 
479171,3,4.0 
479171,1,4.0 
479171,4,4.0 
479170,1,6.0 
479166,6,4.0 
479164,6,10.0 
479163,7,4.0 
479162,8,5.0 
479162,7,6.0 
479162,3,4.0 
479162,8,5.0 
479161,1,6.0 
479160,8,1.0 
479160,9,6.0 
479158,8,10.0 
479158,4,6.0 
479157,5,2.5 
479157,5,2.5 
479156,1,10.0 
479155,9,4.0 
479151,4,6.0 
479149,7,5.0 
479149,7,5.0 
479148,1,6.0 
479147,8,6.0 
479143,3,6.0 
479142,5,10.0 
479142,7,4.0 
479139,8,6.0 
479139,2,10.0 
479136,6,4.0 
479136,1,7.0 
479136,1,7.0 
479136,3,10.0 
479134,9,4.0 
479133,5,1.0 
479132,5,6.0 
479129,6,4.0 
479126,5,1.0 
479126,4,10.0 
479126,8,10.0 
479125,4,4.0 
479124,2,10.0 
479124,8,4.0 
479123,2,10.0 
479123,5,4.0 
479123,4,6.0 
479121,6,6.0 
479120,3,4.0 
479120,2,10.0 
479116,8,10.0 
479115,4,10.0 
479114,3,10.0 
479113,1,10.0 
479112,8,4.0 
479111,7,6.0 
479111,1,6.0 
479109,4,1.0 
479109,3,10.0 
479106,8,1.0 
479105,8,10.0 
479103,4,1.0 
479103,3,6.0 
479101,1,10.0 
479100,5,10.0 
479100,7,1.0 
479099,4,10.0 
479097,6,10.0 
479094,3,1.0 
479094,9,10.0 
479084,3,6.0 
479082,2,10.0 
479082,9,1.0 
479081,3,10.0 
479080,2,4.0 
479079,1,4.0 
479079,2,4.0 
479079,6,6.0 
479079,3,6.0 
479076,5,10.0 
479073,9,6.0 
479073,4,1.0 
479070,7,6.0 
479067,4,1.0 
479064,8,4.0 
479064,1,4.0 
479061,8,10.0 
479060,4,1.0 
479059,6,10.0 
479057,2,10.0 
479056,1,6.0 
479055,5,1.0 
479054,6,6.0 
479052,9,10.0 
479051,4,1.0 
479048,8,3.5 
479048,8,3.5 
479047,2,1.0 
479047,3,10.0 
479046,8,10.0 
479045,8,4.0 
479043,9,4.0 
479041,5,1.0 
479039,4,6.0 
479038,2,10.0 
479037,2,6.0 
479036,3,10.0 
479035,6,1.0 
479034,6,1.0 
479032,7,1.0 
479032,8,1.0 
479032,1,10.0 
479031,4,6.0 
479030,3,10.0 
479030,2,4.0 
479025,9,1.0 
479024,3,4.0 
479021,2,1.0 
479018,4,1.0 
479017,6,1.0 
479015,7,10.0 
479014,4,4.0 
479013,3,10.0 
479012,1,6.0 
479011,6,10.0 
479010,9,6.0 
479008,6,1.0 
479007,5,10.0 
479006,4,1.0 
479003,7,8.0 
479003,7,8.0 
479002,3,6.0 
479001,1,6.0 
479001,4,1.0 
479000,4,1.0 
479000,9,1.0 
478997,4,6.0 
478996,2,1.0 
478995,1,6.0 
478994,3,1.0 
478993,5,6.0 
478991,8,10.0 
478990,2,10.0 
478989,8,1.0 
478984,5,6.0 
478983,4,1.0 
478982,9,4.0 
478980,2,10.0 
478979,1,6.0 
478979,8,4.0 
478978,3,4.0 
478977,3,6.0 
478976,9,1.0 
478975,9,4.0 
478975,1,4.0 
478975,3,10.0 
478974,7,6.0 
478973,8,4.0 
478973,9,10.0 
478972,7,4.0 
478972,3,10.0 
478971,6,6.0 
478970,1,1.0 
478970,2,1.0 
478968,9,6.0 
478968,6,10.0 
478966,8,1.0 
478966,1,10.0 
478964,4,4.0 
478963,4,1.0 
478962,1,10.0 
478961,9,4.0 
478961,7,6.0 
478959,5,6.0 
478959,3,6.0 
478958,9,1.0 
478956,1,1.0 
478956,3,4.0 
478955,1,10.0 
478955,9,1.0 
478952,3,6.0 
478951,6,1.0 
478950,1,6.0 
478949,3,6.0 
478948,4,4.0 
478948,8,10.0 
478946,7,1.0 
478943,8,4.0 
478942,7,4.0 
478942,6,1.0 
478941,1,6.0 
478941,3,4.0 
478940,9,10.0 
478940,4,4.0 
478939,2,10.0 
478939,7,4.0 
478938,7,10.0 
478935,1,4.0 
478933,1,1.0 
478933,2,1.0 
478932,1,6.0 
478932,3,4.0 
478932,2,1.0 
478930,4,1.0 
478929,7,4.0 
478927,8,6.0 
478924,4,2.5 
478924,4,2.5 
478924,9,10.0 
478923,9,1.0 
478923,5,10.0 
478923,4,1.0 
478921,5,4.0 
478920,7,10.0 
478917,4,4.0 
478917,8,6.0 
478915,6,10.0 
478915,6,10.0 
478912,9,1.0 
478911,2,8.0 
478911,2,8.0 
478910,3,6.0 
478910,1,4.0 
478907,5,6.0 
478903,6,10.0 
478901,9,6.0 
478900,6,10.0 
478900,2,6.0 
478899,9,6.0 
478899,1,6.0 
478898,4,4.0 
478897,3,6.0 
478897,1,6.0 
478896,5,1.0 
478895,2,6.0 
478894,3,4.0 
478893,3,1.0 
478893,4,4.0 
478891,7,8.0 
478891,7,8.0 
478890,2,1.0 
478889,9,4.0 
478888,2,4.0 
478886,4,10.0 
478884,3,6.0 
478884,8,4.0 
478884,2,1.0 
478884,5,1.0 
478881,7,10.0 
478881,1,1.0 
478880,9,4.0 
478879,7,4.0 
478878,1,1.0 
478877,8,1.0 
478876,2,4.0 
478875,7,4.0 
478875,3,4.0 
478870,6,6.0 
478869,6,1.0 
478868,4,10.0 
478867,9,4.0 
478866,8,4.0 
478866,6,4.0 
478865,3,4.0 
478864,7,10.0 
478863,5,4.0 
478860,7,1.0 
478858,5,6.0 
478856,6,10.0 
478856,6,10.0 
478855,1,1.0 
478854,8,6.0 
478854,6,4.0 
478852,5,4.0 
478848,7,4.0 
478847,8,7.0 
478847,8,7.0 
478847,1,4.0 
478846,5,1.0 
478845,2,10.0 
478844,9,1.0 
478844,3,1.0 
478844,1,4.0 
478842,8,4.0 
478839,1,10.0 
478839,7,1.0 
478838,5,10.0 
478837,6,1.0 
478836,8,1.0 
478836,6,10.0 
478835,6,10.0 
478834,2,8.0 
478834,2,8.0 
478833,7,1.0 
478832,9,4.0 
478831,6,4.0 
478829,2,6.0 
478829,1,4.0 
478827,4,10.0 
478826,9,6.0 
478826,6,4.0 
478824,5,10.0 
478823,3,10.0 
478821,5,4.0 
478821,4,1.0 
478821,3,6.0 
478820,6,1.0 
478818,3,4.0 
478818,8,4.0 
478817,3,10.0 
478816,6,6.0 
478815,4,6.0 
478815,2,1.0 
478814,9,4.0 
478814,7,6.0 
478813,8,4.0 
478812,9,4.0 
478812,4,6.0 
478811,1,4.0 
478810,3,10.0 
478810,2,1.0 
478807,1,1.0 
478806,3,6.0 
478805,6,4.0 
478804,9,4.0 
478804,1,4.0 
478803,1,10.0 
478803,4,10.0 
478803,3,4.0 
478802,5,6.0 
478794,5,4.0 
478794,9,6.0 
478792,1,10.0 
478792,3,1.0 
478791,2,6.0 
478791,8,1.0 
478789,5,4.0 
478788,6,1.0 
478788,4,6.0 
478787,1,10.0 
478785,3,6.0 
478785,8,1.0 
478784,2,4.0 
478784,3,6.0 
478782,4,1.0 
478781,8,6.0 
478781,7,10.0 
478780,6,4.0 
478780,7,4.0 
478779,4,1.0 
478777,4,5.5 
478777,4,5.5 
478776,5,4.0 
478776,6,4.0 
478776,8,1.0 
478775,1,10.0 
478774,6,4.0 
478773,5,6.0 
478772,4,10.0 
478771,8,1.0 
478770,8,6.0 
478770,5,10.0 
478767,9,1.0 
478767,6,4.0 
478766,7,6.0 
478766,8,4.0 
478766,5,1.0 
478766,2,10.0 
478764,5,6.0 
478763,2,7.0 
478763,2,7.0 
478759,2,6.0 
478758,8,1.0 
478757,9,4.0 
478755,7,4.0 
478755,4,6.0 
478754,8,4.0 
478752,4,4.0 
478751,5,4.0 
478749,6,6.0 
478747,9,6.0 
478746,1,1.0 
478746,8,10.0 
478742,9,10.0 
478741,2,10.0 
478741,2,10.0 
478740,1,4.0 
478740,2,10.0 
478739,7,1.0 
478739,4,10.0 
478734,1,10.0 
478730,3,10.0 
478729,3,4.0 
478728,6,10.0 
478726,5,10.0 
478725,7,4.0 
478721,8,10.0 
478720,2,1.0 
478720,4,4.0 
478719,1,10.0 
478719,4,10.0 
478715,4,4.0 
478715,8,6.0 
478714,9,4.0 
478714,5,1.0 
478713,2,4.0 
478711,5,10.0 
478709,2,10.0 
478709,9,4.0 
478707,9,1.0 
478706,6,10.0 
478705,9,10.0 
478705,6,2.5 
478705,8,6.0 
478705,6,2.5 
478704,1,4.0 
478703,4,1.0 
478702,8,1.0 
478702,1,4.0 
478700,3,2.5 
478700,3,2.5 
478699,4,5.5 
478699,4,5.5 
478698,7,10.0 
478694,5,6.0 
478693,1,1.0 
478692,6,6.0 
478691,7,10.0 
478689,5,10.0 
478689,2,6.0 
478688,4,10.0 
478688,6,4.0 
478687,6,6.0 
478686,3,6.0 
478685,9,4.0 
478684,7,1.0 
478681,8,6.0 
478680,7,1.0 
478680,3,4.0 
478679,1,4.0 
478679,9,10.0 
478678,8,7.0 
478678,8,7.0 
478677,1,6.0 
478676,7,10.0 
478675,7,1.0 
478674,6,10.0 
478674,7,10.0 
478674,8,4.0 
478674,9,5.0 
478674,9,5.0 
478673,5,4.0 
478673,6,6.0 
478671,3,6.0 
478670,7,6.0 
478669,9,1.0 
478668,8,1.0 
478667,8,4.0 
478667,6,7.0 
478667,6,7.0 
478667,7,1.0 
478667,1,4.0 
478665,4,1.0 
478664,8,4.0 
478664,4,6.0 
478663,2,10.0 
478662,7,4.0 
478661,7,2.5 
478661,7,2.5 
478659,1,7.0 
478659,1,7.0 
478658,4,10.0 
478655,7,4.0 
478654,9,4.0 
478653,1,6.0 
478653,9,4.0 
478652,1,6.0 
478650,7,1.0 
478649,4,1.0 
478649,6,4.0 
478648,1,1.0 
478646,8,6.0 
478645,6,4.0 
478645,1,6.0 
478644,2,4.0 
478642,3,10.0 
478641,3,4.0 
478639,2,6.0 
478636,2,10.0 
478636,7,6.0 
478634,3,10.0 
478633,6,4.0 
478632,2,6.0 
478631,6,1.0 
478631,2,6.0 
478630,9,4.0 
478629,8,10.0 
478626,7,1.0 
478625,3,4.0 
478625,9,1.0 
478625,7,1.0 
478623,1,6.0 
478622,4,6.0 
478620,1,6.0 
478618,5,1.0 
478618,8,1.0 
478617,9,1.0 
478617,4,10.0 
478613,2,4.0 
478612,5,4.0 
478612,4,1.0 
478612,1,1.0 
478610,2,4.0 
478610,8,10.0 
478608,3,6.0 
478608,8,1.0 
478608,6,10.0 
478606,1,4.0 
478605,8,1.0 
478604,5,4.0 
478604,1,4.0 
478602,9,1.0 
478602,1,4.0 
478600,6,1.0 
478599,5,4.0 
478599,4,6.0 
478598,2,4.0 
478597,9,10.0 
478596,5,10.0 
478596,1,1.0 
478596,3,6.0 
478592,4,6.0 
478590,7,6.0 
478588,1,10.0 
478588,5,1.0 
478587,7,6.0 
478585,1,6.0 
478583,1,6.0 
478582,3,6.0 
478582,2,1.0 
478581,2,6.0 
478580,1,1.0 
478579,3,10.0 
478578,5,1.0 
478578,8,6.0 
478574,3,1.0 
478572,7,4.0 
478571,9,1.0 
478570,4,4.0 
478569,6,10.0 
478568,1,1.0 
478568,6,1.0 
478567,4,10.0 
478567,8,6.0 
478566,4,1.0 
478564,9,1.0 
478564,4,5.5 
478564,4,5.5 
478562,4,10.0 
478562,9,6.0 
478561,4,1.0 
478560,9,4.0 
478560,2,10.0 
478559,5,10.0 
478559,8,10.0 
478559,7,2.5 
478559,3,1.0 
478559,7,2.5 
478558,7,4.0 
478557,7,1.0 
478556,9,1.0 
478556,6,4.0 
478555,7,1.0 
478555,1,6.0 
478554,2,4.0 
478553,1,4.0 
478552,1,4.0 
478552,5,10.0 
478551,4,10.0 
478546,6,6.0 
478546,4,10.0 
478545,3,4.0 
478543,4,4.0 
478542,2,1.0 
478541,3,4.0 
478540,2,10.0 
478540,1,4.0 
478540,5,10.0 
478538,3,4.0 
478538,7,4.0 
478537,7,10.0 
478536,1,6.0 
478536,4,1.0 
478534,9,1.0 
478534,2,4.0 
478533,1,6.0 
478531,1,10.0 
478530,8,6.0 
478529,3,4.0 
478528,6,6.0 
478528,7,4.0 
478526,6,4.0 
478525,1,6.0 
478525,3,4.0 
478524,7,4.0 
478522,8,1.0 
478515,4,10.0 
478514,6,10.0 
478514,4,6.0 
478513,8,10.0 
478511,4,1.0 
478510,2,4.0 
478509,1,10.0 
478506,2,4.0 
478505,9,4.0 
478503,6,1.0 
478502,2,4.0 
478501,7,10.0 
478499,4,1.0 
478496,8,4.0 
478496,3,10.0 
478495,6,6.0 
478494,3,2.5 
478494,9,4.0 
478494,3,2.5 
478491,8,10.0 
478490,1,4.0 
478488,2,6.0 
478488,1,1.0 
478488,1,1.0 
478487,3,10.0 
478485,7,10.0 
478483,7,4.0 
478482,4,4.0 
478482,8,10.0 
478479,5,4.0 
478478,4,4.0 
